marque,annee,etat,localite,region,prix,lien_image
Yamaha,2024,Venant,Pikine,Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/15f4d00f8aff9d66df094b4eb051be03/-/horizon-files-prod/ed/picture/qngxz5mx/ab86ac8427ce72f14620665e22de9b5c1060a984.jpg
Yamaha,2019,Venant,Liberte 6 extension,Dakar,1650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a1b582970ef529fc20a78a93183add6/-/horizon-files-prod/ed/picture/q785mv2n/5a93ca16cbf87a5102554d9436250eb93f3af851.jpg
Autre,2024,Neuf,Castor,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e591ddfae9f1cca76ef33bcd757ec08f/-/horizon-files-prod/ed/picture/qwe2jqqm/e17345ce4db1b5e38cc37dfbe6ad8d72d0d3c76c.jpg
SYM,2016,D'occasion,Guediawaye,Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc1222b35ebe3296231ce71e55a39641/-/horizon-files-prod/ed/picture/qpd62k2v/272d76d1d780801f81f6d958c7584b686382688f.jpg
Kymco,2008,Venant,Bel air,Dakar,485000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68222a0774656147f248be909eb1cdc4/-/horizon-files-prod/ed/picture/q56xvm0r/0afe53e77bd2f2732da2f929b2a2533bc7b38866.jpg
Suzuki,2023,Neuf,Colobane,Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/681619d26088a4f83b96ad885e11b5cf/-/horizon-files-prod/ed/picture/qkrg85nv/dba3217cd07235497b050e6bb3a03264b8452eb3.jpg
KTM,2010,D'occasion,Saly Portudal,Thiès,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0136c4a6c3a7e3a5b3d6d90771b6754/-/horizon-files-prod/ed/picture/q0gw5e9j/ac0e03bb1199b4f1e7680847ff8acca62a3f6145.jpg
Yamaha,2015,Réconditionné,Liberte 6 extension,Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/91804995836bb0de318b6d0bc62c3cc0/-/horizon-files-prod/ed/picture/q2jrm278/0ecadaada689ebb9c58d744f8cf19ef8c1179be3.jpg
BMW,2010,Venant,Golf,Dakar,2400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf14b0e44994f863d7a145cd8f42cf76/-/horizon-files-prod/ed/picture/q6xkzpmz/216807d5e7dfa20288636242da18602f4fc8d5b0.jpg
KTM,2023,D'occasion,Almadies,Dakar,335000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d5d3ceb3eee772098bb57e68e4a44a2a/-/horizon-files-prod/ed/picture/qwe2jxmj/78612bb9bfa818669e2b2df6acc060705f9df5d1.jpg
BMW,2014,Venant,Ouest foire,Dakar,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/febd5f39f1ae98b9a4dc38fc011eb856/-/horizon-files-prod/ed/picture/q785grpz/a72feb2d5eb3322564d33adfd114753de2b4f684.jpg
Kymco,2015,Neuf,Guediawaye,Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7481c247142ad1990d0a00716da4434/-/horizon-files-prod/ed/picture/qwe2pkzd/0c91d1b72cf7dd6e33b99bdba6c8ae3574a30f2b.jpg
Yamaha,2022,D'occasion,Cambérène,Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/85a3b6a15641cae70c62bd65bdca9883/-/horizon-files-prod/ed/picture/qgq9pmme/08ad05b9753bfab3706e001f8a66269b7908aec5.jpg
Piaggio,2004,Venant,Guediawaye,Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f6dc09f998effa8c6639471121765fd/-/horizon-files-prod/ed/picture/qwe2j08k/01e6531b8a28a5748fb0860522b0c3a2e202b4ff.jpg
Yamaha,2019,D'occasion,Almadies,Dakar,2700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9aa7dd27cae7960893a3e9f2f978d656/-/horizon-files-prod/ed/picture/q4487w5p/e08a4305e37198d64dae83868aa68ec7fa2dbc34.jpg
TVS Motor,2020,Venant,Patte d‘oie,Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ecf022f3e88dfa9fdc107d5b03534e8/-/horizon-files-prod/ed/picture/qm5pdkkz/3e7fa28157bdf1e8b493ca2b793f96399acbee0c.jpg
SYM,2017,D'occasion,Guediawaye,Dakar,460000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16cda122cfff2c50732a3e6fa2209a09/-/horizon-files-prod/ed/picture/qwe2j524/0ed551d37cdb139c8436feeafaafda692739d7d4.jpg
Honda,2012,Neuf,Golf,Dakar,580000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b888b855e312d6b2215fae54474dafe4/-/horizon-files-prod/ed/picture/q2jq5nke/752450c53fb7b9d1ee389a9f991f3c76c53ab929.jpg
Piaggio,2011,Venant,Médina,Dakar,280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c5e4174068c146eea820727aa80bad7/-/horizon-files-prod/ed/picture/qj4r2qqw/16df8fe4b6b7fcff41c826d79e85f201d0dac691.jpg
SYM,2018,Venant,Bel air,Dakar,470000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b40700f8efccb7c176b38fb1db410b3c/-/horizon-files-prod/ed/picture/qj4r2z86/3916ef0f2ab0fef1333c46d73a2a3888bf1ba329.jpg
Piaggio,2013,Neuf,Golf,Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a89d19d8e0c957b7b5e89cbe7750e70f/-/horizon-files-prod/ed/picture/q78599xq/058f4cd8dbab2ac371f0273548b1a49b04eb2145.jpg
Piaggio,2023,Venant,Pikine,Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e945c16b28522a23ba6fc7e76ada3ef6/-/horizon-files-prod/ed/picture/q2jq5kz6/0e0020fb61c79514c41e242da72b128458e05367.jpg
Autre,2023,Neuf,Liberte 6 extension,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f8c6d6e23faa65b794ac29b1f4287f95/-/horizon-files-prod/ed/picture/qpdwvdgr/00d4b3473978595f483b6f1c87ab83f9aec2922b.jpg
Autre,2023,Neuf,Liberte 6 extension,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/40b68a3349a77d41b2bf90dc1eb4129b/-/horizon-files-prod/ed/picture/qm5r8rq6/d228470451590bdf595dc77fc2dc72c6c22094ce.jpg
Autre,2023,Neuf,Liberte 6 extension,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99e087e4ac36af5ca76e47d90d439588/-/horizon-files-prod/ed/picture/qgq9mjkq/d5c7eb2f996aec7f8dfe9f6473668be645599117.jpg
Autre,2023,Neuf,Liberte 6,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/553b63c979a9413bb711c76b1ee72f2f/-/horizon-files-prod/ed/picture/qrzvr4wg/d7fa9e80f87ea6f87fe7be4f8959e7f645d54041.jpg
KTM,2023,Neuf,Liberte 6,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/32ac6e29039875602f7965cac2dbb968/-/horizon-files-prod/ed/picture/qj4rxvp4/eeae49ccb68ebcfc3ca6fd848f103635642b2239.jpg
Honda,2022,Venant,Ouest foire,Dakar,5900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2cd89511336d27659acd1aafea459ec/-/horizon-files-prod/ed/picture/q8v5n48p/3fa2235070f36e2f2e5d4738c1cf6bca62215c39.jpg
Yamaha,2023,Venant,Mbour,Thiès,5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28d9faa7d014249c92ca39d7c3fe831f/-/horizon-files-prod/ed/picture/q7859w7x/53aec12a92ac5da45f30e32d87e88c874ee24acf.jpg
Kymco,2011,Venant,Somone,Thiès,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/662541e46fcd5b55473048b6c0b456cd/-/horizon-files-prod/ed/picture/q2jq5q9p/57c3b44133ecfbf8a913e41d695dadff905ff7f6.jpg
