marque,annee,etat,localite,region,prix,lien_image
BMW,2007,Venant,Dieuppeul,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e019f9c02d05eb9e6ce8234107ea3874/-/horizon-files-prod/ed/picture/q787nx2g/85018a9c1947a7d938f505e9f86bf1fc4f6555ea.jpg
Suzuki,2009,D'occasion,Avenue Bourguiba,Dakar,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a086c6798dcfe03997580cbb9f0f61e9/-/horizon-files-prod/ed/picture/q0gwp2gx/54517d9057464cc3a8fc7391790f2a16d1273c94.jpg
Bajaj,2020,Neuf,Castor,Dakar,680000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9dc34f10845536e2b323ed4868651e4/-/horizon-files-prod/ed/picture/q787erv5/99722c46133d1785468ba35cf524eceb49869178.jpg
Autre,2022,Neuf,Ouakam,Dakar,480000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f247815e563ac9c8533c998ad0df1ba9/-/horizon-files-prod/ed/picture/q44dgd5z/83b4e9bc5e4b472582195b4879d9b1c66db1f203.jpg
Yamaha,2009,D'occasion,Parcelles Assainies,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d8ed8c4d09388474bb442316e461bec/-/horizon-files-prod/ed/picture/qrzqee25/d0a88679b9787e30097fb9ff245830ba08a4585a.jpg
Ducati,2009,D'occasion,Ouakam,Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c050cf717da90308a1244705a0521069/-/horizon-files-prod/ed/picture/q564qv87/609d6f6b57489e617a6cc4fc0e50379d38b10d51.jpg
Yamaha,2021,Venant,Parcelles Assainies,Dakar,850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/949002b3cb566dda7fd1fe77b47f71a7/-/horizon-files-prod/ed/picture/qpdw5m0w/69f7c26f52143e4cdfaf368d002811314167ae27.jpg
Yamaha,2012,D'occasion,Grand-Yoff,Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d569bfd652e544964f940838855258a/-/horizon-files-prod/ed/picture/qj4jwerg/bd709fa89b15ea354d712d4128fc2a162807e669.jpg
Autre,2022,Neuf,Hlm,Dakar,1575000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8fd846819b6789ea274011f6ad5ff1d5/-/horizon-files-prod/ed/picture/qzv4p5nd/b18f2f4f518fea6f96936d195d06dd98d1a5f6e0.jpg
Lifan,2022,Neuf,Castor,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/77e554e0a7dd91ee5acdb46c08a6ce4c/-/horizon-files-prod/ed/picture/qwemvk0p/ba56da2c54210eb84e4d831ce16caf51d8a65bc0.jpg
Kymco,2021,Venant,Liberte 6 extension,Dakar,1900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3b2a60107d012bbf1bc3c64ebd8a755e/-/horizon-files-prod/ed/picture/qwezzd8j/8883020b9c84abc915ebbe70326800a545c54ad5.jpg
KTM,2017,D'occasion,Almadies 2,Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5a504ae98e8296e83e73387d6db7f963/-/horizon-files-prod/ed/picture/qweenpqg/694542f85ac850888de4e6004e455e30923329c9.jpg
Honda,2021,Venant,Liberte 6 extension,Dakar,1950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7bd261b19ddbd2f867442854eea2441/-/horizon-files-prod/ed/picture/qdeevw08/326126434da1cc977afa3955c728c5e74064973f.jpg
Kymco,2023,Venant,Pikine,Dakar,425000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/462e8b468cb2aee1824aed1325ef6e5b/or%3D90/horizon-files-prod/ed/picture/q6x67577/775e38768c08803994a225db58749fe6e2d4771f.jpg
Yamaha,2018,D'occasion,Grand-Yoff,Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d701aa3e7c5c59988498142918712a7/-/horizon-files-prod/ed/picture/qpddregv/6e5c64f0b5669bcb7a484601e6f5813e734d45fa.jpg
Piaggio,2009,D'occasion,Plateau,Dakar,260000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ff561b8cf0b3e1dc447625eca10eeaf9/-/horizon-files-prod/ed/picture/qq44vg2w/9c81d6e6dfebf432cd4357f8e1d654d522167cd9.jpg
Jeep,2015,D'occasion,Parcelles Assainies,Dakar,8300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/735558fc7c87ad3dc4b18aafb42aacc5/-/horizon-files-prod/ed/picture/qdekj0kg/63ba184db0bbf213d38e3e962fafb8077b5d0882.jpg
Mitsubishi,2019,D'occasion,Cité Damel,Dakar,13500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44a342af976b1b56b20a032ddc08ff6f/-/horizon-files-prod/ed/picture/qxj2xm28/6e0a14acd307e1ee1d42b5cc2e7813f9e278b92b.jpg
Kia,2015,D'occasion,Fenêtre mermoz,Dakar,7700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f26e09c2c28655672b7dc19b8106a33e/-/horizon-files-prod/ed/picture/qxj2egjq/6c752882684fe3e4c566f6e9c2c4e9b555e6e187.jpg
Mazda,2015,Venant,Fenêtre mermoz,Dakar,8900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5bcc35b51df60f60d347b74c39d85d5c/-/horizon-files-prod/ed/picture/qwe2jxrm/5b43a0e5c8c341e025f1b7f135c6bf23a2a92680.jpg
Mitsubishi,2013,Neuf,Liberte 6,Dakar,9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e227bd6261c478175bca3a9877da9bac/-/horizon-files-prod/ed/picture/qrzv4rp9/f4329e0c2267958a7965625d71178a2780da6372.jpg
BMW,2015,Venant,Almadies,Dakar,17000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb42e8ea73def2c160f47f6a8241dd96/-/horizon-files-prod/ed/picture/qngx9pg0/3aabf59bcba07bbdaf146d6024a2f2fc6ce8804d.jpg
Mazda,2015,Venant,Rufisque,Dakar,8500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d9529bbb2dbf878c948d09f915d6ce8/-/horizon-files-prod/ed/picture/qkrgvpgv/ba66ac9f7d6a74f7521197cc3ca3472574604556.jpg
Rexton,2000,Venant,Almadies,Dakar,15000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c5b4b7f499ac9bbc356cb405372a648/-/horizon-files-prod/ed/picture/qj4rz5p5/6ede31a05b5829a756cf3c6153cb45ebb3bcb457.jpg
Hyundai,2021,Venant,Almadies,Dakar,20000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8dc556c1ce0dd93552feca1a156a5097/-/horizon-files-prod/ed/picture/q0gw0nwg/b71e06210c63cb40d23bb9ab051cb06d71e3202f.jpg
Hyundai,2017,Venant,Fenêtre mermoz,Dakar,13000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7494baa7a8c38dd1de04d7e8e72c87d/-/horizon-files-prod/ed/picture/q448q08r/7cab4cfcac6ad835faf6f699e2d69ac0644d72be.jpg
Hyundai,2008,D'occasion,Hann Bel-Air,Dakar,2650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74861bb7bf7da17a68d5c747dd01ede9/-/horizon-files-prod/ed/picture/q8v5xp5p/a94f88ba82d82bc059878d2e1665ad0736d35358.jpg
