marque,annee,etat,type_boite_vitesse,localite,region,prix,lien_image
Ford,2017,Venant,Automatique,Thiès,Thiès,5700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/791fccfbaa3fd2399cfb087cfa9c0e6e/-/horizon-files-prod/ed/picture/q8v5x48n/0830f29aa057628849b597aba5ef6ad7f177642d.jpg
Hyundai,2017,Venant,Automatique,Thiès,Thiès,5700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d844653ade19e0bdd86787262b64907/-/horizon-files-prod/ed/picture/qwe25pxk/344a12ccbb6fda32109f2c754695075b58c2abab.jpg
Ford,2017,Neuf,Automatique,Mermoz,Dakar,9000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62aed67d5fcc581da860f3248bb17157/-/horizon-files-prod/ed/picture/q0gw84zw/3b2e8848d3d73cf48c66a6e4bcd05f0888ef1b6e.jpg
Mazda,2017,Venant,Automatique,VDN,Dakar,17500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e28343d04bf4b0da28aa61a16533ffa/-/horizon-files-prod/ed/picture/qzvdexqg/40985f1a1751a49448ad3b3c55a5056f4d9bece2.jpg
Toyota,2017,Neuf,Automatique,Sacré-cœur,Dakar,15250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fa4a76dd5ad21034f7df2a996f21a35/-/horizon-files-prod/ed/picture/qenqw09v/658f0b721eeee6648264dae1b130b2d179944353.jpg
Nissan,2018,Venant,Automatique,VDN,Dakar,10200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb36161ca1fabb010f564a521b61b154/-/horizon-files-prod/ed/picture/q2jqd0mj/6d3e247c4ef49923533a097f8035e5d16a863193.jpg
Jeep,2017,Venant,Automatique,Sicap foire,Dakar,9000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3af94bd7767ab174b2648f8ae1f9c5a4/-/horizon-files-prod/ed/picture/q8v5dmv4/73ab11c0c88ccbe2d5320a66190ab0af1bbcc571.jpg
Land Rover,2015,Venant,Automatique,Ouest foire,Dakar,27500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f13e763edc9268f26ef38e21021015a/-/horizon-files-prod/ed/picture/q2jqn09e/a6a13b2eaa52d749d4d3191a6ff8097d0784c13a.jpg
Hyundai,2015,Venant,Automatique,Ouest foire,Dakar,6700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/02266a378c7b7a11f837eb4450ce730f/-/horizon-files-prod/ed/picture/qzvdeq9n/67e1e6d512695bbcb5e250b2c2c99bc4462b95df.jpg
BMW,2017,D'occasion,Automatique,Ouest foire,Dakar,10000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c29c3a1d58cc0fff45973e5ffdbfd943/-/horizon-files-prod/ed/picture/qngxnpze/3b1f5b4e733d2937d058ece533abd400f5e9e9bd.jpg
Chevrolet,2016,Venant,Automatique,Sicap Liberté,Dakar,7500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f3c2ec99dc0fae69c9e323ca935dfc1/-/horizon-files-prod/ed/picture/qq47848z/e0d6533c4d03bfcf22ecf59215cea910244cb83d.jpg
Jeep,2014,D'occasion,Automatique,Nord foire,Dakar,9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/98762120c4f0a4588c46e6a395c72ded/-/horizon-files-prod/ed/picture/qzvd5p66/00acd97e4425401016e20f28e497fdc662098cd8.jpg
Hyundai,2016,Venant,Automatique,Médina,Dakar,12000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39a20670ff68a86b04616e3d637f0a6d/-/horizon-files-prod/ed/picture/q0gw0756/e04644be3d16450cd78b447db716fe23f7f0741d.jpg
Kia,2016,Venant,Automatique,Médina,Dakar,12000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1dc7f353532e64b75149e6f76c9a4d6/-/horizon-files-prod/ed/picture/qdek4dm2/7661850c5e417a3c20d3a2982e89e4d3e19daf6f.jpg
Hyundai,2015,Venant,Automatique,Sacré-cœur,Dakar,10000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e5239b8213004baa334d611c5c1be88c/-/horizon-files-prod/ed/picture/q7859m8e/9cdace2702f3848b3c8985bc3fcea61c4e413aae.jpg
Land Rover,2014,D'occasion,Automatique,Sicap foire,Dakar,7500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bfd7d0db3098ab28553bb3b1c810281a/-/horizon-files-prod/ed/picture/q785gdnq/823baa914817150fc0aedc0555d5a96ec3562a05.jpg
BMW,2013,D'occasion,Automatique,Mermoz,Dakar,6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e68d634fe628dea607946136efde7ce/-/horizon-files-prod/ed/picture/qwe28vqk/5e28e739606abd4fd7d3e8e69fefa894db375022.jpg
Peugeot,2018,D'occasion,Automatique,Parcelles Assainies,Dakar,9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5d61c7a0faa249b6de714e3a586b63b/-/horizon-files-prod/ed/picture/qngxnxwg/07c2dcb2ff2d8964d1d20396969be1920f05f921.jpg
Jeep,2015,Neuf,Automatique,Cité Damel,Dakar,12500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b875afe5fa4f7f9e4244c89b759521d9/-/horizon-files-prod/ed/picture/qngx97pe/7e28bdaa0068874d2c42f19e19a2a101988974e4.jpg
Jeep,2015,Neuf,Automatique,Cité Damel,Dakar,14000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/837e25c709bbb8cc892bdccce339087d/-/horizon-files-prod/ed/picture/qq4dn4wz/4ebc1f40926048b59afd1754592260fa67387b6a.jpg
GMC,2018,D'occasion,Automatique,Mermoz,Dakar,12900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8620a1247f96073c9a381c84b487ced/-/horizon-files-prod/ed/picture/qwe2g26z/6317d9a0fe8b96e1e8115c3fe8947af507eb200b.jpg
Jeep,2015,D'occasion,Automatique,Hlm,Dakar,8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13bf99bb3227f7b3b1fdcd59c98fab9b/-/horizon-files-prod/ed/picture/qq478z94/de86bbfc8d45a9ba57d8bb32827d4ad10caceae2.jpg
BMW,2015,D'occasion,Automatique,Ngor,Dakar,11000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80a7177839843cdbb2b160ec546468d9/-/horizon-files-prod/ed/picture/q4488mwe/fb9c2aeb98e90d0e623ba465233198191a663a03.jpg
Nissan,2013,D'occasion,Automatique,Grand-Dakar,Dakar,4800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/23fda2097a4c6df04e8bf53005001f15/-/horizon-files-prod/ed/picture/qzvdvjm8/7d58366812f6f6571843637fb97215dac2f951ee.jpg
Mitsubishi,2017,Neuf,Automatique,Cité Damel,Dakar,11000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d6d6b46ced36ec24e4226dc28f6a2364/-/horizon-files-prod/ed/picture/q6xkz22v/4ba11931337eeb8b2a89be6bf1637774182b8639.jpg
Hyundai,2018,Neuf,Automatique,Cité Damel,Dakar,13700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/486f8c3fda5cdb8586b256e9ab061b9f/-/horizon-files-prod/ed/picture/qngx24qv/b77b6badfd40b47c7246755cee0884121c43d3c5.jpg
Nissan,2010,D'occasion,Automatique,Cité keur gorgui,Dakar,3700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f993a428f90b8dbfefef225c84258588/-/horizon-files-prod/ed/picture/qq47829w/43efdb69c3cd1446eef174f7b638b4fc9ba806f5.jpg
Ford,2022,Venant,Automatique,Almadies,Dakar,34500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9a1e9404aa5f3b69ae962f89ebb83b8/-/horizon-files-prod/ed/picture/q448dqd5/c01a5383e9c73762b68b4594cf5fe555663c6eec.jpg
Ford,2015,Venant,Automatique,Almadies,Dakar,27800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce9eff8d7bc3e75e57377e487472e429/-/horizon-files-prod/ed/picture/qm5pnkqr/d39d12158b185352097067a699e2074853bdcde9.jpg
Hyundai,2019,Venant,Automatique,Sacré-cœur,Dakar,32000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/14f75c195937ab2c07401f8eb0094c06/-/horizon-files-prod/ed/picture/qq4qkrkp/c2dfda2d7f7919618b0596588a5493bede914da9.jpg
Ford,2014,D'occasion,Automatique,Médina,Dakar,4200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e014c89fac6623108e8149f9c49ac3a5/-/horizon-files-prod/ed/picture/q2jqnj5q/7838fcb1865a71e66ae3d1e40eaa2d0ba5f02959.jpg
Hyundai,2013,D'occasion,Automatique,Cité biagui,Dakar,4700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89c1e2fddcb2ce1c8b97dbc2f6ffd324/-/horizon-files-prod/ed/picture/q6xkre8d/2483da9e4fd8ffa6972b683dc56e2cfafc7f5f0b.jpg
Hyundai,2016,Venant,Automatique,Pikine,Dakar,6850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6316645ed7fae361f8d55a63d9d64941/-/horizon-files-prod/ed/picture/qngxnxdr/e77c8aaf41e788c54a529320725d8e4eb6bf19be.jpg
Ford,2014,D'occasion,Automatique,Pikine,Dakar,5500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f09bafc76fe142934477e033a7bc02a6/-/horizon-files-prod/ed/picture/qm5p4qdd/e79eaeb6d3d4fb40d9d018e36da7c734915834c9.jpg
Peugeot,2007,D'occasion,Manuelle,Hlm,Dakar,3100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5cbe4f60f81614d3517d8dc4233938c3/-/horizon-files-prod/ed/picture/qwemdjxj/208c361bc41ac4f3edd77fea3b9a4053008a8adb.jpg
Kia,2015,Neuf,Automatique,Cité Damel,Dakar,7000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d783ef908108b889de7148bcb10c5f9a/-/horizon-files-prod/ed/picture/q0gwzqze/458e1a9678a787271c8cd72b47ff23b2e082fd68.jpg
Ford,2013,D'occasion,Automatique,Mbao,Dakar,3700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/da4e0c8b5166629d04e857f97140eba6/-/horizon-files-prod/ed/picture/qrzv7kvg/391a2451370681fd59ab3e23dfec7bf87a838c39.jpg
Jeep,2015,Neuf,Automatique,Cité Damel,Dakar,10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6762366b98e1071e1f59b12f0ba2533d/-/horizon-files-prod/ed/picture/qq47vmv4/9d22630b4118532253dbab62b9e12f1b2fd20c68.jpg
